33, -394, 541
33, -394, 541
137, -395, 560
206, -367, 708
192, -356, 806
101, -353, 782
29, -320, 797
43, -325, 852
43, -325, 852
49, -323, 937
57, -259, 992
38, -164, 983
11, -40, 945
11, -40, 945
54, 67, 1038
19, -22, 1240
-44, -177, 1320
-115, -307, 1443
-73, -315, 1525
-,-,-
183, -567, 668
148, -534, 681
148, -534, 681
194, -541, 623
214, -550, 570
212, -533, 627
186, -498, 619
179, -448, 576
187, -420, 561
181, -402, 566
155, -401, 558
155, -401, 558
138, -383, 522
165, -412, 488
148, -484, 663
120, -512, 716
70, -498, 686
48, -459, 637
48, -459, 637
112, -457, 691
143, -437, 735
157, -395, 686
120, -337, 585
109, -258, 522
121, -182, 635
94, -111, 877
94, -111, 877
2, -130, 989
-65, -123, 952
-35, -69, 987
64, -3, 1119
64, -103, 1446
64, -103, 1446
-,-,-
180, -468, 684
196, -422, 593
255, -433, 593
255, -453, 633
251, -481, 615
253, -488, 579
219, -491, 570
219, -491, 570
174, -498, 556
185, -455, 595
200, -420, 599
196, -415, 606
182, -417, 601
145, -407, 614
116, -388, 551
99, -403, 627
99, -403, 627
95, -448, 710
75, -465, 721
47, -460, 682
34, -417, 632
34, -417, 632
76, -361, 640
132, -303, 715
138, -231, 725
118, -174, 700
126, -151, 752
168, -181, 813
175, -201, 832
175, -201, 832
135, -176, 921
89, -193, 1098
91, -226, 1326
122, -222, 1599
-,-,-
188, -580, 645
203, -543, 688
212, -535, 660
212, -541, 615
214, -543, 611
244, -501, 627
239, -456, 635
216, -444, 630
216, -444, 630
176, -506, 597
192, -542, 578
177, -522, 595
161, -465, 548
157, -395, 493
134, -408, 486
151, -429, 534
151, -429, 534
116, -456, 576
79, -432, 475
15, -407, 427
58, -352, 463
141, -289, 505
132, -252, 631
132, -252, 644
119, -177, 644
160, -63, 644
119, -73, 942
46, -170, 1227
-,-,-
231, -524, 545
231, -524, 545
228, -523, 593
206, -603, 545
227, -559, 540
241, -523, 556
244, -508, 542
220, -478, 557
195, -468, 542
165, -468, 538
165, -468, 538
149, -482, 543
136, -498, 565
105, -504, 594
78, -482, 532
57, -456, 529
93, -430, 579
93, -430, 579
108, -385, 621
78, -347, 544
15, -318, 465
-36, -393, 543
-59, -430, 761
-27, -396, 828
-27, -396, 828
-1, -310, 799
100, -197, 740
218, -83, 862
222, -70, 1213
138, -179, 1243
75, -293, 1304
106, -410, 1515
-,-,-
244, -471, 581
256, -479, 603
271, -494, 549
263, -551, 501
233, -573, 580
233, -562, 607
236, -523, 526
247, -492, 509
247, -492, 509
260, -451, 576
262, -421, 566
217, -402, 515
162, -384, 550
122, -388, 546
80, -387, 594
49, -375, 578
49, -375, 578
51, -337, 482
43, -333, 470
24, -308, 546
12, -270, 566
-12, -284, 624
-12, -284, 624
41, -288, 654
115, -292, 636
147, -214, 666
132, -117, 785
102, -133, 945
108, -164, 1081
122, -170, 1253
86, -184, 1375
86, -184, 1375
107, -159, 1394
151, -205, 1592
86, -266, 1881
-,-,-
158, -335, 511
189, -334, 549
192, -336, 477
204, -335, 454
204, -335, 454
210, -381, 427
218, -429, 489
226, -479, 504
208, -497, 516
202, -485, 519
196, -480, 556
174, -455, 592
174, -455, 592
142, -432, 602
126, -385, 619
139, -367, 631
124, -390, 615
149, -409, 611
101, -457, 647
74, -429, 580
74, -429, 580
71, -402, 510
112, -365, 474
107, -320, 533
56, -266, 637
10, -197, 647
-24, -123, 686
-24, -123, 686
-105, -123, 994
-177, -146, 1233
-199, -182, 1349
-181, -281, 1452
-,-,-
175, -340, 540
175, -340, 540
181, -361, 506
183, -396, 510
191, -422, 554
206, -430, 577
200, -456, 556
191, -472, 547
193, -492, 538
193, -492, 538
202, -499, 570
201, -520, 610
201, -506, 671
195, -529, 681
213, -549, 642
227, -557, 673
221, -588, 774
171, -573, 796
171, -573, 796
121, -502, 718
75, -426, 643
82, -335, 599
119, -266, 576
184, -171, 595
154, -118, 650
154, -118, 650
89, -109, 529
45, -92, 483
76, -31, 619
41, -69, 782
41, -69, 782
-20, -144, 796
-71, -153, 843
-,-,-
211, -398, 440
203, -420, 453
198, -420, 424
210, -457, 409
247, -471, 385
254, -498, 427
248, -508, 448
231, -494, 446
231, -494, 446
208, -500, 431
202, -498, 396
190, -487, 468
181, -457, 502
212, -433, 498
204, -452, 550
135, -486, 611
50, -499, 661
50, -499, 661
33, -456, 626
96, -429, 544
137, -421, 603
137, -370, 715
99, -269, 803
99, -269, 803
79, -207, 835
62, -236, 901
27, -260, 920
-9, -230, 1001
-37, -171, 1084
12, -95, 1174
12, -95, 1174
101, -49, 1271
138, -50, 1300
152, -82, 1411
128, -77, 1639
117, -32, 1711
-,-,-
126, -354, 505
151, -401, 488
165, -405, 439
181, -447, 404
181, -447, 404
214, -446, 382
231, -440, 442
219, -437, 494
197, -443, 569
175, -447, 581
180, -447, 555
191, -440, 591
176, -433, 627
176, -433, 627
135, -429, 644
160, -423, 641
187, -434, 697
193, -435, 726
122, -405, 718
85, -325, 721
95, -283, 766
95, -283, 766
150, -249, 780
142, -219, 825
99, -186, 788
100, -114, 801
141, -61, 995
141, -61, 1104
172, -8, 1104
185, -9, 1140
170, -66, 1176
153, -131, 1378
74, -268, 1466
47, -361, 1317
138, -341, 1214
-,-,-
172, -527, 483
172, -527, 483
179, -508, 525
183, -458, 570
205, -447, 507
253, -410, 487
293, -403, 465
297, -424, 497
269, -451, 527
269, -451, 527
244, -459, 513
214, -464, 518
214, -439, 513
212, -405, 558
220, -391, 596
192, -418, 650
167, -419, 636
168, -400, 658
168, -400, 658
143, -424, 696
108, -448, 755
83, -434, 799
95, -359, 762
82, -323, 850
65, -285, 965
65, -285, 965
71, -257, 968
73, -235, 955
94, -203, 998
98, -158, 1078
71, -163, 1213
71, -163, 1213
44, -190, 1270
-,-,-
234, -375, 462
283, -449, 403
243, -506, 360
240, -524, 404
232, -531, 479
232, -531, 479
242, -510, 504
236, -492, 512
206, -503, 498
168, -498, 526
148, -459, 515
159, -425, 532
168, -391, 539
168, -391, 539
196, -376, 565
190, -419, 641
130, -495, 717
92, -469, 714
112, -408, 709
134, -388, 717
132, -374, 721
132, -374, 721
91, -377, 736
88, -315, 710
118, -239, 721
139, -142, 801
116, -46, 976
40, -92, 1114
40, -92, 1114
-8, -162, 1210
-2, -205, 1290
19, -246, 1306
15, -221, 1344
-17, -201, 1474
28, -157, 1626
59, -156, 1788
59, -156, 1788
-,-,-
146, -462, 632
155, -457, 633
144, -453, 591
144, -453, 591
134, -472, 570
135, -464, 541
153, -458, 461
189, -454, 448
201, -469, 471
220, -455, 479
219, -446, 475
208, -441, 501
